Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,Poblacio,Import
2015,01,01,01,46767,454130242
2015,01,01,02,15232,212032585
2015,01,01,03,14707,188745971
2015,01,01,04,22145,320142013
2015,01,02,05,31138,600300568
2015,01,02,06,50442,959224617
2015,01,02,07,42910,1122203455
2015,01,02,08,41170,960637531
2015,01,02,09,56759,1217674748
2015,01,02,10,37618,702547146
2015,01,03,11,39711,512259377
2015,01,03,12,1096,11152896
2015,01,03,13,29884,406828815
2015,01,03,14,10215,173127924
2015,01,03,15,15523,249399305
2015,01,03,16,18102,291292484
2015,01,03,17,23742,386109550
2015,01,03,18,40102,717424639
2015,01,04,19,45134,1121693040
2015,01,04,20,23548,525728606
2015,01,04,21,11618,422013507
2015,01,05,22,4538,110347423
2015,01,05,23,24338,774801557
2015,01,05,24,16279,615460155
2015,01,05,25,25025,802259296
2015,01,05,26,46144,1530977919
2015,01,05,27,28668,735916272
2015,01,06,28,15269,354461366
2015,01,06,29,7248,121392620
2015,01,06,30,12980,279856239
2015,01,06,31,49577,952676978
2015,01,06,32,33315,698574177
2015,01,07,33,25058,453423502
2015,01,07,34,8672,142390387
2015,01,07,35,35328,615505500
2015,01,07,36,9251,195833494
2015,01,07,37,31053,374079514
2015,01,07,38,11225,153349222
2015,01,07,39,6651,100435027
2015,01,07,40,4919,81300503
2015,01,07,41,5394,103131124
2015,01,07,42,431,6395178
2015,01,07,43,26015,430374269
2015,01,08,44,25091,399873527
2015,01,08,45,23956,339743461
2015,01,08,46,15167,172708483
2015,01,08,47,2243,22760960
2015,01,08,48,14861,235380682
2015,01,08,49,6866,99030373
2015,01,08,50,15221,157260577
2015,01,08,51,12094,136761349
2015,01,08,52,25580,325069982
2015,01,08,53,7264,67785904
2015,01,08,54,2670,23047860
2015,01,08,55,10134,86971865
2015,01,08,56,1308,12157860
2015,01,09,57,9971,94968743
2015,01,09,58,2434,21858040
2015,01,09,59,12405,152939291
2015,01,09,60,55602,972360996
2015,01,09,61,28464,461632762
2015,01,09,62,13918,224767341
2015,01,09,63,21740,359729037
2015,01,10,64,37743,653773183
2015,01,10,65,26542,445090016
2015,01,10,66,14542,258587877
2015,01,10,67,9173,269532824
2015,01,10,68,33057,598530634
2015,01,10,69,13190,281040199
2015,01,10,70,22595,237356073
2015,01,10,71,19850,316842591
2015,01,10,72,25637,390465578
2015,01,10,73,28308,385284331
2016,01,01,01,46782,466623869
2016,01,01,02,15427,219976667
2016,01,01,03,14702,195486472
2016,01,01,04,22017,330683079
2016,01,02,05,31299,619810094
2016,01,02,06,50731,987026246
2016,01,02,07,43074,1180506447
2016,01,02,08,41433,994872855
2016,01,02,09,56792,1246803675
2016,01,02,10,37795,728955209
