Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,Pisos
2014,01,01,01,180
2014,01,01,02,184
2014,01,01,03,69
2014,01,01,04,171
2014,01,02,05,343
2014,01,02,06,794
2014,01,02,07,1747
2014,01,02,08,727
2014,01,02,09,428
2014,01,02,10,568
2014,01,03,11,546
2014,01,03,12,3
2014,01,03,13,6
2014,01,03,14,74
2014,01,03,15,187
2014,01,03,16,42
2014,01,03,17,90
2014,01,03,18,189
2014,01,04,19,171
2014,01,04,20,36
2014,01,04,21,8
2014,01,05,22,3
2014,01,05,23,23
2014,01,05,24,31
2014,01,05,25,26
2014,01,05,26,271
2014,01,05,27,158
2014,01,06,28,35
2014,01,06,29,13
2014,01,06,30,35
2014,01,06,31,768
2014,01,06,32,230
2014,01,07,33,87
2014,01,07,34,13
2014,01,07,35,54
2014,01,07,36,2
2014,01,07,37,26
2014,01,07,38,9
2014,01,07,39,3
2014,01,07,40,0
2014,01,07,41,0
2014,01,07,42,0
2014,01,07,43,4
2014,01,08,44,6
2014,01,08,45,2
2014,01,08,46,0
2014,01,08,47,0
2014,01,08,48,1
2014,01,08,49,1
2014,01,08,50,3
2014,01,08,51,2
2014,01,08,52,4
2014,01,08,53,0
2014,01,08,54,0
2014,01,08,55,0
2014,01,08,56,0
2014,01,09,57,5
2014,01,09,58,0
2014,01,09,59,1
2014,01,09,60,27
2014,01,09,61,21
2014,01,09,62,4
2014,01,09,63,11
2014,01,10,64,270
2014,01,10,65,50
2014,01,10,66,101
2014,01,10,67,111
2014,01,10,68,406
2014,01,10,69,145
2014,01,10,70,30
2014,01,10,71,36
2014,01,10,72,9
2014,01,10,73,6
2015,01,01,01,180
2015,01,01,02,184
2015,01,01,03,69
2015,01,01,04,171
2015,01,02,05,343
2015,01,02,06,794
2015,01,02,07,1747
2015,01,02,08,727
2015,01,02,09,428
2015,01,02,10,568
2015,01,03,11,546
2015,01,03,12,3
2015,01,03,13,6
2015,01,03,14,74
2015,01,03,15,187
2015,01,03,16,42
2015,01,03,17,90
2015,01,03,18,189
2015,01,04,19,171
2015,01,04,20,36
2015,01,04,21,8
2015,01,05,22,3
2015,01,05,23,23
2015,01,05,24,31
2015,01,05,25,26
2015,01,05,26,271
2015,01,05,27,158
2015,01,06,28,35
2015,01,06,29,13
2015,01,06,30,35
2015,01,06,31,768
2015,01,06,32,230
2015,01,07,33,87
2015,01,07,34,13
2015,01,07,35,54
2015,01,07,36,2
2015,01,07,37,26
2015,01,07,38,9
2015,01,07,39,3
2015,01,07,40,0
2015,01,07,41,0
2015,01,07,42,0
2015,01,07,43,4
2015,01,08,44,6
2015,01,08,45,2
2015,01,08,46,0
2015,01,08,47,0
2015,01,08,48,1
2015,01,08,49,1
2015,01,08,50,3
2015,01,08,51,2
2015,01,08,52,4
2015,01,08,53,0
2015,01,08,54,0
2015,01,08,55,0
2015,01,08,56,0
2015,01,09,57,5
2015,01,09,58,0
2015,01,09,59,1
2015,01,09,60,27
2015,01,09,61,21
2015,01,09,62,4
2015,01,09,63,11
2015,01,10,64,270
2015,01,10,65,50
2015,01,10,66,101
2015,01,10,67,111
2015,01,10,68,406
2015,01,10,69,145
2015,01,10,70,30
2015,01,10,71,36
2015,01,10,72,9
2015,01,10,73,6
2016,01,01,01,177
2016,01,01,02,188
2016,01,01,03,68
2016,01,01,04,169
2016,01,02,05,331
2016,01,02,06,772
2016,01,02,07,1653
2016,01,02,08,709
2016,01,02,09,418
2016,01,02,10,590
2016,01,03,11,518
2016,01,03,12,3
2016,01,03,13,7
2016,01,03,14,73
2016,01,03,15,168
2016,01,03,16,44
2016,01,03,17,106
2016,01,03,18,245
2016,01,04,19,210
2016,01,04,20,46
2016,01,04,21,11
2016,01,05,22,3
2016,01,05,23,27
2016,01,05,24,35
2016,01,05,25,33
2016,01,05,26,254
2016,01,05,27,154
2016,01,06,28,40
2016,01,06,29,20
2016,01,06,30,38
2016,01,06,31,754
2016,01,06,32,229
2016,01,07,33,106
2016,01,07,34,20
2016,01,07,35,75
2016,01,07,36,4
2016,01,07,37,33
2016,01,07,38,9
2016,01,07,39,4
2016,01,07,40,0
2016,01,07,41,1
2016,01,07,42,0
2016,01,07,43,7
2016,01,08,44,9
2016,01,08,45,2
2016,01,08,46,0
2016,01,08,47,0
2016,01,08,48,1
2016,01,08,49,1
2016,01,08,50,2
2016,01,08,51,3
2016,01,08,52,4
2016,01,08,53,0
2016,01,08,54,0
2016,01,08,55,0
2016,01,08,56,0
2016,01,09,57,4
2016,01,09,58,0
2016,01,09,59,1
2016,01,09,60,29
2016,01,09,61,22
2016,01,09,62,6
2016,01,09,63,17
2016,01,10,64,267
2016,01,10,65,51
2016,01,10,66,103
2016,01,10,67,111
2016,01,10,68,395
2016,01,10,69,129
2016,01,10,70,32
2016,01,10,71,41
2016,01,10,72,15
2016,01,10,73,9
2017,01,01,01,177
2017,01,01,02,188
2017,01,01,03,68
2017,01,01,04,169
2017,01,02,05,331
2017,01,02,06,772
2017,01,02,07,1653
2017,01,02,08,709
2017,01,02,09,418
2017,01,02,10,590
2017,01,03,11,518
2017,01,03,12,3
2017,01,03,13,7
2017,01,03,14,73
2017,01,03,15,168
2017,01,03,16,44
2017,01,03,17,106
2017,01,03,18,245
2017,01,04,19,210
2017,01,04,20,46
2017,01,04,21,11
2017,01,05,22,3
2017,01,05,23,27
2017,01,05,24,35
2017,01,05,25,33
2017,01,05,26,254
2017,01,05,27,154
2017,01,06,28,40
2017,01,06,29,20
2017,01,06,30,38
2017,01,06,31,754
2017,01,06,32,229
2017,01,07,33,106
2017,01,07,34,20
2017,01,07,35,75
2017,01,07,36,4
2017,01,07,37,33
2017,01,07,38,9
2017,01,07,39,4
2017,01,07,40,0
2017,01,07,41,1
2017,01,07,42,0
2017,01,07,43,7
2017,01,08,44,9
2017,01,08,45,2
2017,01,08,46,0
2017,01,08,47,0
2017,01,08,48,1
2017,01,08,49,1
2017,01,08,50,2
2017,01,08,51,3
2017,01,08,52,4
2017,01,08,53,0
2017,01,08,54,0
2017,01,08,55,0
2017,01,08,56,0
2017,01,09,57,4
2017,01,09,58,0
2017,01,09,59,1
2017,01,09,60,29
2017,01,09,61,22
2017,01,09,62,6
2017,01,09,63,17
2017,01,10,64,267
