Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,EDAT_10,Poblacio
1997,01,01,01,1,2280
1997,01,01,01,2,2716
1997,01,01,01,3,4603
1997,01,01,01,4,4717
1997,01,01,01,5,3726
1997,01,01,01,6,3763
1997,01,01,01,7,5092
1997,01,01,01,8,6786
1997,01,01,02,1,749
1997,01,01,02,2,933
1997,01,01,02,3,1752
1997,01,01,02,4,2017
1997,01,01,02,5,1579
1997,01,01,02,6,1519
1997,01,01,02,7,2055
1997,01,01,02,8,2737
1997,01,01,03,1,957
1997,01,01,03,2,1246
1997,01,01,03,3,2141
1997,01,01,03,4,2034
1997,01,01,03,5,1468
1997,01,01,03,6,1690
1997,01,01,03,7,2181
1997,01,01,03,8,2791
1997,01,01,04,1,1182
1997,01,01,04,2,1526
1997,01,01,04,3,2847
1997,01,01,04,4,2923
1997,01,01,04,5,2196
1997,01,01,04,6,2209
1997,01,01,04,7,2772
1997,01,01,04,8,3931
1997,01,02,05,1,1940
1997,01,02,05,2,2863
1997,01,02,05,3,4001
1997,01,02,05,4,4021
1997,01,02,05,5,3784
1997,01,02,05,6,3329
1997,01,02,05,7,3490
1997,01,02,05,8,4235
1997,01,02,06,1,3374
1997,01,02,06,2,4509
1997,01,02,06,3,6475
1997,01,02,06,4,7244
1997,01,02,06,5,6433
1997,01,02,06,6,5306
1997,01,02,06,7,6299
1997,01,02,06,8,8153
1997,01,02,07,1,2513
1997,01,02,07,2,3210
1997,01,02,07,3,5079
1997,01,02,07,4,5455
1997,01,02,07,5,5032
1997,01,02,07,6,4341
1997,01,02,07,7,4984
1997,01,02,07,8,7908
1997,01,02,08,1,2544
1997,01,02,08,2,3123
1997,01,02,08,3,5262
1997,01,02,08,4,5564
1997,01,02,08,5,4789
1997,01,02,08,6,4442
1997,01,02,08,7,5211
1997,01,02,08,8,7800
1997,01,02,09,1,3982
1997,01,02,09,2,5488
1997,01,02,09,3,7654
1997,01,02,09,4,7614
1997,01,02,09,5,7828
1997,01,02,09,6,6608
1997,01,02,09,7,6757
1997,01,02,09,8,8285
1997,01,02,10,1,2080
1997,01,02,10,2,3046
1997,01,02,10,3,4924
1997,01,02,10,4,4835
1997,01,02,10,5,4414
1997,01,02,10,6,4338
1997,01,02,10,7,5160
1997,01,02,10,8,6744
1997,01,03,11,1,2213
1997,01,03,11,2,3079
1997,01,03,11,3,4685
1997,01,03,11,4,4777
1997,01,03,11,5,3952
1997,01,03,11,6,3823
1997,01,03,11,7,4928
1997,01,03,11,8,5848
1997,01,03,12,1,249
1997,01,03,12,2,248
1997,01,03,12,3,355
1997,01,03,12,4,235
1997,01,03,12,5,153
1997,01,03,12,6,149
1997,01,03,12,7,222
1997,01,03,12,8,180
1997,01,03,13,1,2493
1997,01,03,13,2,3170
1997,01,03,13,3,4395
1997,01,03,13,4,4701
1997,01,03,13,5,3351
1997,01,03,13,6,3031
1997,01,03,13,7,3342
1997,01,03,13,8,1941
1997,01,03,14,1,634
1997,01,03,14,2,1001
1997,01,03,14,3,1341
1997,01,03,14,4,1332
1997,01,03,14,5,1348
1997,01,03,14,6,1058
1997,01,03,14,7,1101
1997,01,03,14,8,1052
1997,01,03,15,1,1027
1997,01,03,15,2,1558
1997,01,03,15,3,1959
1997,01,03,15,4,2093
1997,01,03,15,5,2108
1997,01,03,15,6,1663
1997,01,03,15,7,1804
1997,01,03,15,8,2243
1997,01,03,16,1,1415
1997,01,03,16,2,2076
1997,01,03,16,3,2420
1997,01,03,16,4,2803
1997,01,03,16,5,2587
1997,01,03,16,6,1980
