Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,LLOC_NAIX_REGIO,Poblacio,REF_Poblacio
1997,01,01,01,1,914,33669
1997,01,01,01,2,765,33669
1997,01,01,01,3,5,33669
1997,01,01,01,4,1433,33669
1997,01,01,01,5,366,33669
1997,01,01,01,6,0,33669
1997,01,01,01,7,0,33669
1997,01,01,02,1,232,13326
1997,01,01,02,2,327,13326
1997,01,01,02,3,22,13326
1997,01,01,02,4,211,13326
1997,01,01,02,5,241,13326
1997,01,01,02,6,0,13326
1997,01,01,02,7,0,13326
1997,01,01,03,1,191,14577
1997,01,01,03,2,142,14577
1997,01,01,03,3,0,14577
1997,01,01,03,4,6,14577
1997,01,01,03,5,90,14577
1997,01,01,03,6,0,14577
1997,01,01,03,7,0,14577
1997,01,01,04,1,593,19570
1997,01,01,04,2,549,19570
1997,01,01,04,3,0,19570
1997,01,01,04,4,185,19570
1997,01,01,04,5,275,19570
1997,01,01,04,6,0,19570
1997,01,01,04,7,0,19570
1997,01,02,05,1,32,27779
1997,01,02,05,2,441,27779
1997,01,02,05,3,0,27779
1997,01,02,05,4,23,27779
1997,01,02,05,5,254,27779
1997,01,02,05,6,0,27779
1997,01,02,05,7,0,27779
1997,01,02,06,1,45,47925
1997,01,02,06,2,663,47925
1997,01,02,06,3,0,47925
1997,01,02,06,4,5,47925
1997,01,02,06,5,379,47925
1997,01,02,06,6,0,47925
1997,01,02,06,7,0,47925
1997,01,02,07,1,42,38560
1997,01,02,07,2,597,38560
1997,01,02,07,3,0,38560
1997,01,02,07,4,14,38560
1997,01,02,07,5,502,38560
1997,01,02,07,6,0,38560
1997,01,02,07,7,0,38560
1997,01,02,08,1,45,38588
1997,01,02,08,2,703,38588
1997,01,02,08,3,0,38588
1997,01,02,08,4,158,38588
1997,01,02,08,5,446,38588
1997,01,02,08,6,0,38588
1997,01,02,08,7,0,38588
1997,01,02,09,1,101,54310
1997,01,02,09,2,865,54310
1997,01,02,09,3,5,54310
1997,01,02,09,4,116,54310
1997,01,02,09,5,426,54310
1997,01,02,09,6,0,54310
1997,01,02,09,7,0,54310
1997,01,02,10,1,60,35538
1997,01,02,10,2,566,35538
1997,01,02,10,3,0,35538
1997,01,02,10,4,40,35538
1997,01,02,10,5,247,35538
1997,01,02,10,6,0,35538
1997,01,02,10,7,0,35538
1997,01,03,11,1,256,33330
1997,01,03,11,2,485,33330
1997,01,03,11,3,0,33330
1997,01,03,11,4,19,33330
1997,01,03,11,5,253,33330
1997,01,03,11,6,0,33330
1997,01,03,11,7,0,33330
1997,01,03,12,1,6,1799
1997,01,03,12,2,0,1799
1997,01,03,12,3,0,1799
1997,01,03,12,4,0,1799
1997,01,03,12,5,21,1799
1997,01,03,12,6,0,1799
1997,01,03,12,7,0,1799
1997,01,03,13,1,84,26856
1997,01,03,13,2,194,26856
1997,01,03,13,3,0,26856
1997,01,03,13,4,0,26856
1997,01,03,13,5,139,26856
1997,01,03,13,6,0,26856
1997,01,03,13,7,0,26856
1997,01,03,14,1,0,8936
1997,01,03,14,2,130,8936
1997,01,03,14,3,0,8936
1997,01,03,14,4,6,8936
