Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,NIV_EDUCA_esta,Poblacio
1997,01,01,01,1,7801
1997,01,01,01,2,11000
1997,01,01,01,3,4540
1997,01,01,01,4,3928
1997,01,01,01,5,2129
1997,01,01,01,6,895
1997,01,01,02,1,2289
1997,01,01,02,2,3762
1997,01,01,02,3,1854
1997,01,01,02,4,2245
1997,01,01,02,5,1800
1997,01,01,02,6,248
1997,01,01,03,1,3659
1997,01,01,03,2,4609
1997,01,01,03,3,2418
1997,01,01,03,4,1558
1997,01,01,03,5,503
1997,01,01,03,6,251
1997,01,01,04,1,3712
1997,01,01,04,2,5684
1997,01,01,04,3,2816
1997,01,01,04,4,3061
1997,01,01,04,5,2013
1997,01,01,04,6,538
1997,01,02,05,1,2577
1997,01,02,05,2,5571
1997,01,02,05,3,4362
1997,01,02,05,4,6092
1997,01,02,05,5,5398
1997,01,02,05,6,567
1997,01,02,06,1,5465
1997,01,02,06,2,10734
1997,01,02,06,3,7885
1997,01,02,06,4,9699
1997,01,02,06,5,7900
1997,01,02,06,6,893
1997,01,02,07,1,2594
1997,01,02,07,2,6406
1997,01,02,07,3,5047
1997,01,02,07,4,8914
1997,01,02,07,5,10977
1997,01,02,07,6,787
1997,01,02,08,1,3322
1997,01,02,08,2,6905
1997,01,02,08,3,5224
1997,01,02,08,4,9061
1997,01,02,08,5,9596
1997,01,02,08,6,772
1997,01,02,09,1,4932
1997,01,02,09,2,10289
1997,01,02,09,3,8012
1997,01,02,09,4,12135
1997,01,02,09,5,11455
1997,01,02,09,6,1236
1997,01,02,10,1,4239
1997,01,02,10,2,8351
1997,01,02,10,3,5884
1997,01,02,10,4,7421
1997,01,02,10,5,5665
1997,01,02,10,6,686
1997,01,03,11,1,6167
1997,01,03,11,2,9683
1997,01,03,11,3,5710
1997,01,03,11,4,5141
1997,01,03,11,5,2451
1997,01,03,11,6,667
1997,01,03,12,1,498
1997,01,03,12,2,476
1997,01,03,12,3,205
1997,01,03,12,4,58
1997,01,03,12,5,0
1997,01,03,12,6,61
1997,01,03,13,1,3962
1997,01,03,13,2,7539
1997,01,03,13,3,4728
1997,01,03,13,4,4252
1997,01,03,13,5,1556
1997,01,03,13,6,682
1997,01,03,14,1,1076
1997,01,03,14,2,2026
1997,01,03,14,3,1564
1997,01,03,14,4,1748
1997,01,03,14,5,1143
1997,01,03,14,6,170
1997,01,03,15,1,2432
1997,01,03,15,2,3426
1997,01,03,15,3,2378
1997,01,03,15,4,2534
1997,01,03,15,5,1552
1997,01,03,15,6,294
1997,01,03,16,1,2198
1997,01,03,16,2,4332
1997,01,03,16,3,2989
1997,01,03,16,4,3120
1997,01,03,16,5,1551
1997,01,03,16,6,439
1997,01,03,17,1,3646
1997,01,03,17,2,5922
1997,01,03,17,3,3941
1997,01,03,17,4,3971
1997,01,03,17,5,2298
1997,01,03,17,6,560
1997,01,03,18,1,5570
1997,01,03,18,2,9130
1997,01,03,18,3,6241
1997,01,03,18,4,7011
1997,01,03,18,5,4961
1997,01,03,18,6,775
1997,01,04,19,1,3480
1997,01,04,19,2,7631
1997,01,04,19,3,6374
1997,01,04,19,4,10244
1997,01,04,19,5,10446
1997,01,04,19,6,1100
1997,01,04,20,1,2169
1997,01,04,20,2,4703
1997,01,04,20,3,3264
1997,01,04,20,4,5245
1997,01,04,20,5,4835
1997,01,04,20,6,618
1997,01,04,21,1,351
1997,01,04,21,2,1072
1997,01,04,21,3,1125
1997,01,04,21,4,2809
1997,01,04,21,5,3722
1997,01,04,21,6,234
1997,01,05,22,1,369
1997,01,05,22,2,479
1997,01,05,22,3,324
1997,01,05,22,4,546
1997,01,05,22,5,627
1997,01,05,22,6,59
1997,01,05,23,1,1261
1997,01,05,23,2,2605
1997,01,05,23,3,2407
1997,01,05,23,4,4631
1997,01,05,23,5,6193
1997,01,05,23,6,467
1997,01,05,24,1,429
1997,01,05,24,2,1270
1997,01,05,24,3,1195
1997,01,05,24,4,3333
1997,01,05,24,5,4698
1997,01,05,24,6,251
1997,01,05,25,1,1063
1997,01,05,25,2,2359
1997,01,05,25,3,2248
1997,01,05,25,4,5545
1997,01,05,25,5,7052
1997,01,05,25,6,508
1997,01,05,26,1,1984
1997,01,05,26,2,4866
1997,01,05,26,3,4489
1997,01,05,26,4,11407
1997,01,05,26,5,14406
1997,01,05,26,6,913
1997,01,05,27,1,1291
1997,01,05,27,2,3151
1997,01,05,27,3,3283
1997,01,05,27,4,6498
1997,01,05,27,5,7818
1997,01,05,27,6,638
1997,01,06,28,1,1265
1997,01,06,28,2,2645
1997,01,06,28,3,2101
1997,01,06,28,4,3176
1997,01,06,28,5,2963
1997,01,06,28,6,278
1997,01,06,29,1,884
1997,01,06,29,2,1446
1997,01,06,29,3,1157
1997,01,06,29,4,1224
1997,01,06,29,5,845
1997,01,06,29,6,132
1997,01,06,30,1,875
1997,01,06,30,2,2109
1997,01,06,30,3,1908
1997,01,06,30,4,3055
1997,01,06,30,5,2844
1997,01,06,30,6,265
1997,01,06,31,1,5750
1997,01,06,31,2,11063
1997,01,06,31,3,7157
1997,01,06,31,4,9201
1997,01,06,31,5,7816
1997,01,06,31,6,874
1997,01,06,32,1,3082
1997,01,06,32,2,6418
1997,01,06,32,3,5315
1997,01,06,32,4,7374
1997,01,06,32,5,6483
1997,01,06,32,6,719
1997,01,07,33,1,2996
1997,01,07,33,2,5405
1997,01,07,33,3,4058
1997,01,07,33,4,5145
1997,01,07,33,5,3813
1997,01,07,33,6,448
1997,01,07,34,1,1370
1997,01,07,34,2,2219
1997,01,07,34,3,1526
1997,01,07,34,4,1485
1997,01,07,34,5,908
1997,01,07,34,6,176
1997,01,07,35,1,4193
1997,01,07,35,2,7996
1997,01,07,35,3,5572
1997,01,07,35,4,7040
1997,01,07,35,5,4920
1997,01,07,35,6,652
1997,01,07,36,1,851
1997,01,07,36,2,2038
1997,01,07,36,3,1723
1997,01,07,36,4,2043
1997,01,07,36,5,1462
1997,01,07,36,6,219
1997,01,07,37,1,7526
1997,01,07,37,2,8923
1997,01,07,37,3,6463
1997,01,07,37,4,4212
1997,01,07,37,5,1345
1997,01,07,37,6,835
1997,01,07,38,1,2329
1997,01,07,38,2,3050
1997,01,07,38,3,2063
1997,01,07,38,4,1539
1997,01,07,38,5,575
1997,01,07,38,6,250
1997,01,07,39,1,1235
1997,01,07,39,2,1853
1997,01,07,39,3,1187
1997,01,07,39,4,1160
1997,01,07,39,5,724
1997,01,07,39,6,134
1997,01,07,40,1,1044
1997,01,07,40,2,1496
1997,01,07,40,3,825
1997,01,07,40,4,873
1997,01,07,40,5,573
1997,01,07,40,6,45
1997,01,07,41,1,435
1997,01,07,41,2,1070
1997,01,07,41,3,924
1997,01,07,41,4,1159
1997,01,07,41,5,872
1997,01,07,41,6,89
1997,01,07,42,1,54
1997,01,07,42,2,62
1997,01,07,42,3,45
1997,01,07,42,4,6
1997,01,07,42,5,29
1997,01,07,42,6,0
1997,01,07,43,1,4420
1997,01,07,43,2,6601
1997,01,07,43,3,4320
1997,01,07,43,4,4651
1997,01,07,43,5,2606
1997,01,07,43,6,593
1997,01,08,44,1,3654
1997,01,08,44,2,6225
1997,01,08,44,3,4171
1997,01,08,44,4,4570
1997,01,08,44,5,2621
1997,01,08,44,6,508
1997,01,08,45,1,4473
1997,01,08,45,2,6459
1997,01,08,45,3,4358
1997,01,08,45,4,3924
1997,01,08,45,5,1730
1997,01,08,45,6,446
1997,01,08,46,1,3230
1997,01,08,46,2,4491
1997,01,08,46,3,2311
1997,01,08,46,4,2141
1997,01,08,46,5,986
1997,01,08,46,6,177
1997,01,08,47,1,410
1997,01,08,47,2,735
1997,01,08,47,3,430
1997,01,08,47,4,192
1997,01,08,47,5,36
1997,01,08,47,6,43
1997,01,08,48,1,2555
1997,01,08,48,2,4609
1997,01,08,48,3,3135
1997,01,08,48,4,2994
1997,01,08,48,5,1527
1997,01,08,48,6,362
1997,01,08,49,1,1333
1997,01,08,49,2,2486
1997,01,08,49,3,1784
1997,01,08,49,4,1025
1997,01,08,49,5,415
1997,01,08,49,6,261
1997,01,08,50,1,3948
1997,01,08,50,2,4190
1997,01,08,50,3,2852
1997,01,08,50,4,1496
1997,01,08,50,5,367
1997,01,08,50,6,351
1997,01,08,51,1,3116
1997,01,08,51,2,3666
1997,01,08,51,3,2311
1997,01,08,51,4,1441
1997,01,08,51,5,466
1997,01,08,51,6,259
1997,01,08,52,1,6270
1997,01,08,52,2,7201
1997,01,08,52,3,5309
1997,01,08,52,4,3737
1997,01,08,52,5,1263
1997,01,08,52,6,636
1997,01,08,53,1,2234
1997,01,08,53,2,2322
1997,01,08,53,3,1295
1997,01,08,53,4,547
1997,01,08,53,5,147
1997,01,08,53,6,141
1997,01,08,54,1,570
1997,01,08,54,2,698
1997,01,08,54,3,300
1997,01,08,54,4,87
1997,01,08,54,5,0
1997,01,08,54,6,66
1997,01,08,55,1,2041
1997,01,08,55,2,2857
1997,01,08,55,3,1859
1997,01,08,55,4,1140
1997,01,08,55,5,261
1997,01,08,55,6,199
1997,01,08,56,1,140
1997,01,08,56,2,211
1997,01,08,56,3,92
1997,01,08,56,4,17
1997,01,08,56,5,0
1997,01,08,56,6,19
1997,01,09,57,1,1739
1997,01,09,57,2,2285
1997,01,09,57,3,1477
1997,01,09,57,4,711
1997,01,09,57,5,199
1997,01,09,57,6,164
1997,01,09,58,1,541
1997,01,09,58,2,800
1997,01,09,58,3,295
1997,01,09,58,4,123
1997,01,09,58,5,0
1997,01,09,58,6,55
1997,01,09,59,1,2057
1997,01,09,59,2,3158
1997,01,09,59,3,1990
