Data_Referencia,Seccio_Censal,Poblacio
1997,1001,1052
1997,1002,1183
1997,1003,2113
1997,1004,2012
1997,1005,1883
1997,1006,1513
1997,1007,2200
1997,1008,1970
1997,1009,1472
1997,1010,1500
1997,1011,1929
1997,1012,1458
1997,1013,1033
1997,1014,1274
1997,1015,1566
1997,1016,1483
1997,1017,1721
1997,1018,939
1997,1019,1902
1997,1020,1845
1997,1021,1635
1997,1022,1113
1997,1023,1930
1997,1025,1175
1997,1026,1481
1997,1027,1352
1997,1028,1515
1997,1029,1167
1997,1030,2149
1997,1031,1459
1997,1032,2001
1997,1033,1092
1997,1034,1095
1997,1035,1296
1997,1036,1112
1997,1037,1376
1997,1038,1325
1997,1039,1345
1997,1040,1009
1997,1041,1358
1997,1042,1499
1997,1043,1010
1997,1044,1286
1997,1045,1968
1997,1046,1492
1997,1047,1486
1997,1048,1836
1997,1049,1242
1997,1050,1394
1997,1051,1416
1997,1052,1710
1997,1053,2385
1997,1054,1151
1997,1055,1210
1997,2001,872
1997,2002,1498
1997,2003,755
1997,2004,1358
1997,2005,2066
1997,2006,1494
1997,2007,975
1997,2008,1636
1997,2009,1415
1997,2010,1076
1997,2011,1038
1997,2012,1455
1997,2013,1002
1997,2014,1122
1997,2015,1402
1997,2016,1730
1997,2017,1720
1997,2018,1892
1997,2019,1851
1997,2020,1306
1997,2021,1413
1997,2022,1119
1997,2023,1040
1997,2024,1117
1997,2025,1045
1997,2026,1813
1997,2027,1910
1997,2028,1730
1997,2029,1098
1997,2030,1171
1997,2031,1103
1997,2032,1026
1997,2033,1071
1997,2034,1098
1997,2035,1341
1997,2036,1116
1997,2037,1007
1997,2038,1190
1997,2039,1588
1997,2040,1572
1997,2041,1636
1997,2042,1796
1997,2043,1134
1997,2044,1188
1997,2045,1165
1997,2046,1833
1997,2047,1852
1997,2048,1139
1997,2049,2126
1997,2050,1555
1997,2051,1873
1997,2052,1622
1997,2053,1574
1997,2054,1732
1997,2055,1749
1997,2056,1318
1997,2057,1082
1997,2058,1419
1997,2059,1633
1997,2060,1634
1997,2061,1152
1997,2062,1443
1997,2063,1149
1997,2064,1251
1997,2065,1698
1997,2066,1871
1997,2067,1430
1997,2068,1575
1997,2069,1263
1997,2070,1205
1997,2071,1329
1997,2072,762
1997,2073,1364
1997,2074,944
1997,2075,890
1997,2076,1212
1997,2077,1073
1997,2078,994
1997,2079,1084
1997,2080,1358
1997,2081,2055
1997,2082,1014
1997,2083,1571
1997,2084,1849
1997,2085,1439
1997,2086,1135
1997,2087,1250
1997,2088,1550
1997,2089,1698
1997,2090,1397
1997,2091,1470
1997,2092,1564
1997,2093,1444
1997,2094,1395
1997,2095,1325
1997,2096,1303
1997,2097,908
1997,2098,1456
1997,2099,1431
1997,2100,1306
1997,2101,2042
1997,2102,1351
1997,2103,1681
1997,2104,1150
1997,2105,1896
1997,2106,1366
1997,2107,1603
1997,2108,1661
1997,2109,2065
1997,2110,1686
1997,2111,1665
1997,2112,1449
1997,2113,1883
1997,2114,1643
1997,2115,1290
1997,2116,770
1997,2117,1225
1997,2118,1368
1997,2119,1412
1997,2120,1210
1997,2121,1086
1997,2122,1078
1997,2123,1002
1997,2124,1113
1997,2125,1586
1997,2126,1448
1997,2127,942
1997,2128,1133
1997,2129,1631
1997,2130,1179
1997,2131,1105
1997,2132,1147
1997,2133,1048
1997,2134,1453
1997,2135,1981
1997,2136,859
1997,2137,1243
1997,2138,1811
1997,2139,1451
1997,2140,1885
1997,2141,1115
1997,2142,1765
1997,2143,1175
1997,2144,1376
1997,2145,1026
1997,2146,1039
1997,2147,1863
1997,2148,1454
1997,2149,1621
1997,2150,1254
1997,2151,1232
1997,2152,1276
1997,2153,1369
1997,2154,945
1997,2155,1983
1997,2156,1315
1997,2157,1102
1997,2158,1648
1997,2159,1633
1997,2160,1743
1997,2161,977
1997,2162,1288
1997,2163,1673
1997,2164,1392
1997,2165,1533
1997,2166,1844
1997,2167,2066
1997,2168,1934
1997,2169,1357
1997,2170,1450
1997,2171,1606
1997,2172,1475
1997,2173,1446
1997,3001,1582
1997,3002,1668
1997,3003,1350
1997,3004,1419
1997,3005,1128
1997,3006,1107
1997,3007,1420
1997,3008,1079
1997,3009,1060
1997,3010,1353
1997,3011,1339
1997,3012,1842
1997,3013,1520
1997,3014,1473
1997,3015,2522
1997,3016,794
1997,3017,1325
1997,3018,1458
1997,3019,1250
1997,3020,1227
1997,3021,1064
1997,3022,1129
1997,3023,1414
1997,3024,1782
1997,3025,1791
1997,3026,1253
1997,3027,1142
1997,3028,150
1997,3029,1059
1997,3030,1829
1997,3031,2597
1997,3032,863
1997,3033,1398
1997,3034,1527
1997,3035,2489
1997,3036,1439
1997,3037,969
1997,3038,1094
1997,3039,2678
1997,3040,1388
1997,3041,1249
1997,3042,1256
1997,3043,1433
1997,3044,1484
1997,3045,870
1997,3046,1187
1997,3047,1744
1997,3048,1317
1997,3049,1577
1997,3050,1429
1997,3051,1522
1997,3052,1143
1997,3053,1767
1997,3054,1655
1997,3055,1367
1997,3056,934
1997,3057,1465
1997,3058,815
1997,3059,1189
1997,3060,1334
1997,3061,1172
1997,3062,1564
1997,3063,1146
1997,3064,1065
1997,3065,1258
1997,3066,1810
1997,3067,1791
1997,3068,1190
1997,3069,1155
1997,3070,1376
1997,3071,1279
1997,3072,1346
1997,3073,1510
1997,3074,1558
1997,3075,1533
1997,3076,1120
1997,3077,1312
1997,3078,1566
1997,3079,1571
1997,3080,1556
1997,3081,1825
1997,3082,1707
1997,3083,1380
1997,3084,1501
1997,3085,1145
1997,3086,1478
1997,3087,1536
1997,3088,1484
1997,3089,1283
1997,3090,897
1997,3091,1227
1997,3092,964
1997,3093,1437
1997,3094,1084
1997,3095,1487
1997,3096,1381
1997,3097,1365
1997,3098,1223
1997,3099,954
1997,3100,1143
1997,3101,1261
1997,3102,1194
1997,3103,1369
1997,3104,1211
1997,3105,1018
1997,3106,1085
1997,3107,1519
1997,3108,1386
1997,3109,1285
1997,3110,1386
1997,3111,1202
1997,3112,1774
1997,3113,1567
1997,3114,1382
1997,3211,1274
1997,3212,2556
1997,3213,2107
1997,4001,1104
1997,4002,1682
1997,4003,1046
1997,4004,975
1997,4005,1286
1997,4006,1209
1997,4007,1021
1997,4008,1005
1997,4009,1322
1997,4010,810
1997,4011,1769
1997,4012,1618
1997,4013,1203
1997,4014,483
1997,4015,1716
1997,4016,1143
1997,4017,1210
1997,4018,1421
1997,4019,1265
1997,4020,1293
1997,4021,1346
1997,4022,1540
1997,4023,925
1997,4024,965
1997,4025,1061
1997,4026,1281
1997,4027,1218
1997,4028,1388
1997,4029,1217
1997,4030,1776
1997,4031,1440
1997,4032,1632
1997,4033,1205
1997,4034,1753
1997,4035,1526
1997,4036,1831
1997,4037,2163
1997,4038,1354
1997,4039,895
1997,4040,1561
1997,4041,1150
1997,4042,1812
1997,4043,1852
1997,4044,1602
1997,4045,1348
1997,4046,2757
1997,4047,1832
1997,4048,1454
1997,4049,1002
1997,4050,1919
1997,4051,1646
1997,4052,2049
1997,4053,1271
1997,4054,1071
1997,4055,1495
1997,4056,1247
1997,4084,1452
1997,5001,963
1997,5002,1129
1997,5003,809
1997,5004,672
1997,5005,794
1997,5006,1165
1997,5007,1247
1997,5008,1300
1997,5009,1408
1997,5010,1381
1997,5011,1225
1997,5012,1269
1997,5013,1568
1997,5014,1274
1997,5015,1099
1997,5016,1724
1997,5017,1266
1997,5018,1237
1997,5019,1493
1997,5020,880
1997,5021,71
1997,5022,1429
1997,5023,1434
1997,5024,1750
1997,5025,1110
1997,5026,1280
1997,5027,1269
1997,5028,1159
1997,5029,1209
1997,5030,1201
1997,5031,1153
1997,5032,1304
1997,5033,975
1997,5034,1093
1997,5035,1103
1997,5036,1468
1997,5037,1253
1997,5038,1038
1997,5039,1455
1997,5040,1178
1997,5041,1131
1997,5042,1037
1997,5043,1228
1997,5044,1172
1997,5045,1375
1997,5046,1030
1997,5047,1069
1997,5048,1205
1997,5049,1475
1997,5050,1325
1997,5051,1333
1997,5052,1260
1997,5053,1165
1997,5054,877
1997,5055,1411
1997,5056,1223
1997,5057,1525
1997,5058,1430
1997,5059,1476
1997,5060,1090
1997,5061,1443
1997,5062,1541
1997,5063,1448
1997,5064,1493
1997,5065,1541
1997,5066,1249
1997,5067,1191
1997,5068,1359
1997,5069,1630
1997,5070,1386
1997,5071,1425
1997,5072,1496
1997,5073,1486
1997,5074,1521
1997,5075,1683
1997,5076,1272
1997,5077,1219
1997,5078,1705
1997,5079,1304
1997,5080,1294
1997,5081,1367
1997,5082,1462
1997,5083,1210
1997,5084,1150
1997,5085,1099
1997,5086,1124
1997,5087,1482
1997,5088,1430
1997,5089,1349
1997,5090,1547
1997,5091,1378
1997,5092,1255
1997,5093,971
1997,5094,2528
1997,5095,1617
1997,5096,1031
1997,5097,1384
1997,5098,1300
1997,6001,831
1997,6002,1352
1997,6003,2171
1997,6004,1446
1997,6006,918
1997,6007,1100
1997,6008,1848
1997,6009,1048
1997,6010,929
1997,6011,1280
1997,6012,1053
1997,6013,1623
1997,6014,1314
1997,6015,1264
1997,6016,1226
1997,6017,1132
1997,6018,1292
1997,6019,1373
1997,6020,1048
1997,6021,1269
1997,6022,1028
1997,6023,1435
1997,6024,1664
1997,6025,1430
1997,6026,877
1997,6027,1147
1997,6028,1255
1997,6029,1147
1997,6030,1348
1997,6031,1051
1997,6032,1018
1997,6033,1358
1997,6034,1102
1997,6035,992
1997,6036,1373
1997,6037,1039
1997,6038,1271
1997,6039,1534
1997,6040,1656
1997,6041,1552
1997,6042,1409
1997,6043,1079
1997,6044,1325
1997,6045,1144
1997,6046,1096
1997,6047,1175
1997,6048,1231
1997,6049,1093
1997,6050,1156
1997,6051,1173
1997,6052,1492
1997,6053,1367
1997,6054,1446
1997,6055,1150
1997,6056,1447
1997,6057,1451
1997,6058,1566
1997,6059,1369
1997,6060,1626
1997,6061,1098
1997,6062,1192
1997,6063,1416
1997,6064,1804
1997,6065,992
1997,6066,991
1997,6067,1629
1997,6068,1493
1997,6069,952
1997,6070,1713
1997,6071,943
1997,6072,1585
1997,6073,1467
1997,6074,995
1997,6075,1134
1997,6076,1412
1997,6077,1191
1997,6078,1217
1997,6079,1070
1997,6080,1161
1997,6081,1201
1997,6082,1566
1997,6083,1821
1997,6084,1357
1997,6085,1318
1997,6086,852
1997,6087,2042
1997,6088,1216
1997,7001,1470
1997,7002,737
1997,7003,1261
1997,7004,1475
1997,7005,1312
1997,7006,1086
1997,7007,1209
1997,7008,1565
1997,7009,1066
1997,7010,1282
1997,7011,1070
1997,7012,1548
1997,7013,1244
1997,7014,835
1997,7015,1355
1997,7016,1259
1997,7017,1677
1997,7018,1565
1997,7019,1479
1997,7020,1465
1997,7021,993
1997,7022,1124
1997,7023,1293
1997,7024,1361
1997,7025,1266
1997,7026,1210
1997,7027,1789
1997,7028,1342
1997,7029,1263
1997,7030,1341
1997,7031,1444
1997,7032,1298
1997,7033,1443
1997,7034,1475
1997,7035,1573
1997,7036,1239
1997,7037,1412
1997,7038,1333
1997,7039,1214
1997,7040,1284
1997,7041,1202
1997,7042,1354
1997,7043,1370
1997,7044,1255
1997,7045,1363
1997,7046,1289
1997,7047,1364
1997,7048,1262
1997,7049,1251
1997,7050,1165
1997,7051,1703
1997,7052,1218
1997,7053,1574
1997,7054,1617
1997,7055,1188
1997,7056,1197
1997,7057,1455
1997,7058,1387
1997,7059,1396
1997,7060,1970
1997,7061,1233
1997,7062,1392
1997,7063,1593
1997,7064,1696
1997,7065,1874
1997,7066,1772
1997,7067,1635
1997,7068,1274
1997,7069,1426
1997,7070,1369
1997,7071,1446
1997,7072,1313
1997,7073,1298
1997,7074,1751
1997,7075,1292
1997,7076,1542
1997,7077,1347
